序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000001,上证指数,3839.76,-1.95,-76.47,617563018,873181597948.6,2.19,3921.06,3835.36,3912.04,3916.23,0.89
2,399001,深证成指,12688.94,-3.04,-397.47,667473475,1064934758204.8243,3.17,13091.76,12677.44,13060.24,13086.41,0.93
3,899050,北证50,1432.87,-3.75,-55.84,7352243,16563930767.0,4.08,1493.15,1432.43,1488.87,1488.71,0.91
4,399006,创业板指,2935.37,-3.36,-102.07,185613716,465679907805.74,3.61,3042.29,2932.68,3026.4,3037.44,0.9
5,000680,科创综指,1564.02,-3.78,-61.43,41859959,195648280631.0,3.82,1624.16,1562.06,1622.2,1625.45,0.83
6,000688,科创50,1363.17,-3.77,-53.41,11679231,72841743901.0,3.9,1415.66,1360.45,1411.74,1416.58,0.76
7,399330,深证100,5589.59,-2.94,-169.06,67882296,234815785978.84,2.93,5753.27,5584.66,5741.24,5758.65,0.83
8,000300,沪深300,4514.23,-2.26,-104.19,256905617,559085965218.7,2.37,4618.56,4509.33,4610.7,4618.42,0.83
9,000016,上证50,2967.77,-1.7,-51.43,62678056,148748973205.0,1.95,3022.81,2963.94,3017.43,3019.2,0.89
10,399673,创业板50,3074.24,-3.45,-109.75,22225367,151869762714.61,3.67,3188.34,3071.45,3170.25,3183.99,0.8
11,000888,上证综合全收益,4379.71,-1.93,-86.35,617563018,873181597948.6,2.19,4472.45,4374.7,4462.16,4466.06,0.89
12,399750,深主板50,8950.28,-2.67,-245.32,45679004,98602489243.28,2.44,9165.86,8941.23,9165.86,9195.6,0.83
13,899601,北证专精特新,2454.73,-4.01,-102.67,1302537,4496490199.0,4.19,2561.48,2454.31,2557.92,2557.4,0.85
14,930050,中证A50,1763.92,-2.24,-40.46,52478091,163160107094.0,2.47,1806.18,1761.7,1802.65,1804.38,0.83
15,000903,中证A100,4356.54,-2.32,-103.37,120467779,326269028076.9,2.54,4464.36,4351.27,4454.29,4459.91,0.82
16,000510,中证A500,5392.97,-2.51,-138.82,335843725,728600923605.2,2.68,5535.44,5387.09,5524.29,5531.79,0.83
17,000904,中证200,5470.67,-2.76,-155.1,141692634,269558625725.0,2.95,5630.15,5464.21,5616.56,5625.77,0.82
18,000905,中证500,7016.07,-2.98,-215.46,200044113,348113892817.2,3.38,7254.58,7009.89,7226.42,7231.53,0.83
19,000906,中证800,4932.62,-2.45,-123.88,456949730,907199858035.9,2.63,5060.73,4927.68,5049.36,5056.5,0.83
20,000852,中证1000,7185.48,-2.92,-216.36,254327325,383875372638.0,3.37,7426.21,7176.96,7395.87,7401.84,0.93
21,932000,中证2000,2963.33,-2.86,-87.09,314355080,403574735140.0,3.01,3053.36,2961.61,3047.07,3050.42,0.94
22,000985,中证全指,5652.46,-2.55,-148.13,1238307766,1902268948965.0,2.78,5808.81,5647.36,5793.66,5800.59,0.9
23,000010,上证180,9938.04,-2.12,-215.75,172821695,305995898936.0,2.31,10160.2,9925.97,10143.15,10153.79,0.83
24,000009,上证380,6336.26,-2.84,-185.34,113709530,183367589371.0,3.23,6540.83,6330.08,6515.7,6521.6,0.85
25,000132,上证100,5867.99,-3.17,-192.19,19398044,50928129051.0,3.19,6055.33,5861.8,6051.05,6060.18,0.99
26,000133,上证150,6243.8,-3.56,-230.37,20327838,40996381512.0,3.76,6482.1,6238.8,6467.86,6474.17,0.96
27,000003,Ｂ股指数,259.96,-1.22,-3.22,400896,164395352.6,1.46,263.41,259.57,263.33,263.18,1.03
28,000012,国债指数,224.85,0.09,0.2,19228240,19229483168.0,0.09,224.88,224.67,224.67,224.65,0.86
29,000013,企债指数,301.36,0.01,0.04,2129681,2131604274.0,0.0,301.36,301.35,301.35,301.32,0.33
30,000011,基金指数,7114.51,-0.36,-25.87,1361701143,433971483676.0,0.42,7142.22,7112.4,7140.11,7140.38,0.91
31,399002,深成指R,17005.65,-3.03,-530.72,481597445,599146513168.85,3.17,17545.51,16990.24,17503.27,17536.37,0.94
32,399850,深证50,8747.52,-2.8,-251.84,40298953,160785031395.2,2.8,8993.74,8741.42,8967.72,8999.36,0.87
33,399005,中小100,7815.57,-2.96,-238.73,49806260,133120460626.72,2.99,8047.6,7806.78,8046.68,8054.3,0.83
34,399003,成份Ｂ指,8876.35,-1.44,-129.39,262314,108337230.2344,1.6,9011.04,8867.26,9008.47,9005.74,0.92
35,399106,深证综指,2396.92,-2.72,-67.03,667473475,1064934758204.8243,2.94,2467.52,2395.05,2460.59,2463.95,0.93
36,399004,深证100R,7930.83,-2.92,-238.59,67882296,234815785978.84,2.93,8163.08,7923.84,8146.01,8169.42,0.83
37,399007,深证300,5378.45,-3.04,-168.4,150857879,416623189028.17,3.13,5547.51,5373.69,5534.29,5546.85,0.81
38,399008,中小300,1565.77,-3.01,-48.52,136832672,243978659065.72,3.07,1613.57,1564.01,1612.63,1614.29,0.93
39,399293,创业大盘,5862.04,-3.5,-212.49,16840438,134567973888.29,3.62,6077.89,5857.88,6049.63,6074.53,0.8
40,399019,创业200,4193.63,-3.33,-144.32,42481195,87609250221.91,3.86,4356.86,4189.21,4336.9,4337.95,0.88
41,399020,创业小盘,1646.17,-3.05,-51.75,37523888,68294519967.1,3.29,1701.27,1645.48,1697.01,1697.92,0.89
42,399100,新指数,11287.77,-2.71,-314.81,645861218,1050716728425.39,2.96,11621.82,11278.27,11587.88,11602.58,0.92
43,399550,央视50,7871.36,-1.9,-152.76,30341474,70294454621.94,2.08,8028.41,7861.88,8012.57,8024.12,0.86
